base,source,symbol,rows,first_utc,last_utc,days,delisted
CVC,binance,CVCUSDT,1890489,2023-01-01,2026-08-06,1314,0
CVX,binance,CVXUSDT,1890309,2023-01-01,2026-08-06,1314,0
CXMT,bybit,CXMTUSDT,14172,2026-07-27,2026-08-06,11,0
CYBER,binance,CYBERUSDT,1556199,2023-08-21,2026-08-06,1082,0
CYS,binance,CYSUSDT,340899,2025-12-12,2026-08-06,238,0
D,binance,DUSDT,824520,2025-01-09,2026-08-04,574,0
DAM,binance,DAMUSDT,506130,2025-08-18,2026-08-04,352,0
DAO,bybit_trades,DAOUSDT,166294,2024-03-27,2024-09-24,182,1
DAR,binance,DARUSDT,1889280,2023-01-01,2026-08-04,1313,0
DARK,bybit_trades,DARKUSDT,85127,2025-04-27,2025-07-01,66,1
DASH,binance,DASHUSDT,1890999,2023-01-01,2026-08-06,1314,0
DATA,bybit,DATAUSDT,39977,2026-07-09,2026-08-06,29,0
DATAIP,binance,DATAIPUSDT,48834,2026-07-03,2026-08-06,35,0
DBR,bybit,DBRUSDT,947095,2024-10-17,2026-08-06,659,0
DEEP,binance,DEEPUSDT,678009,2025-04-22,2026-08-06,472,0
DEFI,binance,DEFIUSDT,1889280,2023-01-01,2026-08-04,1313,0
DEGEN,binance,DEGENUSDT,903630,2024-11-15,2026-08-04,629,0
DEGO,binance,DEGOUSDT,863205,2024-12-13,2026-08-04,600,0
DELL,binance,DELLUSDT,91899,2026-06-03,2026-08-06,65,0
DENT,binance,DENTUSDT,1889280,2023-01-01,2026-08-04,1313,0
DEXE,binance,DEXEUSDT,849189,2024-12-24,2026-08-06,591,0
DF,binance,DFUSDT,838815,2024-12-30,2026-08-04,584,0
DGB,binance,DGBUSDT,1889280,2023-01-01,2026-08-04,1313,0
DIA,binance,DIAUSDT,968649,2024-10-02,2026-08-06,673,0
DIS,binance,DISUSDT,118979,2026-05-15,2026-08-06,83,0
DKNG,binance,DKNGUSDT,81814,2026-06-10,2026-08-06,58,0
DMC,binance,DMCUSDT,585300,2025-06-24,2026-08-04,407,0
DODOX,binance,DODOXUSDT,1574919,2023-08-08,2026-08-06,1094,0
DOG,bybit_trades,DOGUSDT,907368,2024-06-04,2026-05-28,724,1
DOGE,binance,DOGEUSDT,1890999,2023-01-01,2026-08-06,1314,0
DOGS,binance,DOGSUSDT,1021929,2024-08-26,2026-08-06,710,0
DOLO,binance,DOLOUSDT,665379,2025-05-01,2026-08-06,463,0
DOOD,binance,DOODUSDT,653229,2025-05-09,2026-08-06,454,0
DOP1,bybit_trades,DOP1USDT,281277,2024-07-10,2025-01-30,205,1
DOT,binance,DOTUSDT,1890999,2023-01-01,2026-08-06,1314,0
DRAM,binance,DRAMUSDT,114639,2026-05-18,2026-08-06,80,0
DRIFT,binance,DRIFTUSDT,915174,2024-11-08,2026-08-06,636,0
DUCK,bybit_trades,DUCKUSDT,343789,2025-01-16,2025-10-14,272,1
DUSK,binance,DUSKUSDT,1890999,2023-01-01,2026-08-06,1314,0
DYDX,binance,DYDXUSDT,1890999,2023-01-01,2026-08-06,1314,0
DYM,binance,DYMUSDT,1311699,2024-02-07,2026-08-06,912,0
EBAY,binance,EBAYUSDT,81520,2026-06-09,2026-08-04,58,0
EDEN,binance,EDENUSDT,446019,2025-09-30,2026-08-06,311,0
EDGE,binance,EDGEUSDT,201039,2026-03-19,2026-08-06,140,0
EDU,binance,EDUUSDT,1718919,2023-04-30,2026-08-06,1194,0
EGLD,binance,EGLDUSDT,1890999,2023-01-01,2026-08-06,1314,0
EIGEN,binance,EIGENUSDT,970479,2024-10-01,2026-08-06,675,0
ELSA,binance,ELSAUSDT,282074,2026-01-22,2026-08-06,197,0
ELX,bybit_trades,ELXUSDT,315207,2025-03-12,2025-12-04,268,1
ENA,binance,ENAUSDT,1232169,2024-04-02,2026-08-06,856,0
ENJ,binance,ENJUSDT,1890999,2023-01-01,2026-08-06,1314,0
ENS,binance,ENSUSDT,1890999,2023-01-01,2026-08-06,1314,0
ENSO,binance,ENSOUSDT,425979,2025-10-14,2026-08-06,297,0
EOS,binance,EOSUSDT,1254784,2023-01-01,2025-05-21,872,0
EPIC,binance,EPICUSDT,735639,2025-03-13,2026-08-06,512,0
EPT,binance,EPTUSDT,677460,2025-04-21,2026-08-04,471,0
ERA,binance,ERAUSDT,553749,2025-07-17,2026-08-06,385,0
ES,bybit_trades,ESUSDT,338673,2025-07-16,2026-07-10,360,1
ESP,binance,ESPUSDT,254669,2026-02-10,2026-08-06,178,0
ESPORTS,binance,ESPORTSUSDT,536799,2025-07-29,2026-08-06,374,0
ETC,binance,ETCUSDT,1890999,2023-01-01,2026-08-06,1314,0
ETH,binance,ETHUSDT,1890999,2023-01-01,2026-08-06,1314,0
ETHBTC,bybit,ETHBTCUSDT,1137248,2024-06-07,2026-08-06,791,0
ETHFI,binance,ETHFIUSDT,1253589,2024-03-18,2026-08-06,871,0
ETHW,binance,ETHWUSDT,1413609,2023-11-28,2026-08-06,982,0
